Sentence ,Masked Sentence,Options,Truth,Options,Rule
The captain of dragoons was in no manner displeased at the prospect of terminating so pleasantly a day that had been so agreeably commenced.,The captain of dragoons <***> in no manner displeased at the prospect of terminating so pleasantly a day that <***>been so agreeably commenced.,"was,were*had,have",was*had,,S_V
"Their dresses were neat, though plain; and a never-failing topic amongst them was the performance and quality of their horses.","Their dresses <***> neat, though plain; and a never-failing topic amongst them <***> the performance and quality of their horses.","were,was*was,is",were*was,,S_V
"All this time Dunwoodie sat by himself, gazing at the fire, and lost in reflections which none of his officers presumed to disturb.","All this time Dunwoodie <***> by <***>, gazing at the fire, and lost in reflections which none of his officers presumed to disturb.","sat,sit*himself,herself",sat*himself,,S_V*R_A
"What kind of animal might this have been when living, Mrs. Flanagan?","What kind of animal might this <***> been when <***>, Mrs. Flanagan?","have,has*living,lived",have*living,,S_V
"What! roared the trooper, stopping short as he was about to swallow his morsel, ""ancient Jenny!""","What! <***> the trooper, stopping short as he <***> about to swallow his morsel, ""ancient Jenny!""","roared,roar*was,is",roared*was,,S_V
"The devil! cried another, dropping his knife and fork, ""she who made the campaign of the Jerseys with us?""","The devil! <***>another, <***> his knife and fork, ""she who made the campaign of the Jerseys with us?""","cried,cries*dropping,dropped",cried*dropping,,S_V
"Sure, gentlemen, 'this is awful to have to eat sitch an ould friend.""","Sure, gentlemen, 'this <***> awful to <***> to eat sitch an ould friend.""","is,are*have,had",is*have,,S_V
"And has she sunk to this? said Lawton, pointing with his knife, to the remnants on the table.","And <***> she <***> to this? said Lawton, pointing with his knife, to the remnants on the table.","has,have*sunk,sank",has*sunk,,S_V
"Well, said Lieutenant Mason, dropping his knife and fork in a kind of despair, ""my jaws have more sympathy than many men's hearts.","Well, said Lieutenant Mason, <***> his knife and fork in a kind of despair, ""my jaws <***> more sympathy than many men's hearts.","dropping,dropped*have,has",dropping*have,,S_V
"They themselves absolutely decline making any impression on the relics of their old acquaintance.""","They <***> absolutely decline <***> any impression on the relics of their old acquaintance.""","themselves,ourselves*making,makes",themselves*making,,R_A*S_V
"Elizabeth's congratulations were given with a sincerity, a warmth, a delight, which words could but poorly express.","Elizabeth's congratulations  <***> given with a sincerity, a warmth, a delight, which words  <***> but poorly express.","were,was*could,would",were*could,,S_V
"For a few glasses there was much formality observed, and sundry patriotic toasts and sentiments were duly noticed by the company.","For a few glasses there  <***>  much formality observed, and sundry patriotic toasts and sentiments  <***>  duly noticed by the company.","was,were*were,is",was*were,,S_V
"Forbear, forbear, good doctor, said the trooper, filling his glass with great deliberation; ""I never could wheel round those hard names.","Forbear, forbear, good doctor, said  the trooper,  <***>  his glass with great deliberation; ""I never  <***>  wheel round those hard names.","filling,fills*could,would",filling*could,,S_V
"Gentlemen, I will give you a humble attempt of my own.""","Gentlemen, I  <***>   <***>  you a humble attempt of my own.""","will,shall*give,gives",will*give,,S_V
And he who bravely meets the foe His lease of life can never know.,And he who bravely  <***>  the foe His lease of life can  <***> know.,"meets,meet*never,not",meets*never,,S_V*N_P_I
Old mother Flanagan Come and fill the can again!,Old mother Flanagan  <***>  and <***>  the can again!,"come,coming*fill,fills",come*fill,,S_V
"For you can fill, and we can swill, Good Betty Flanagan.","For you  <***>  fill, and we  <***>  swill, Good Betty Flanagan.","can,could*can,could",can*can,,S_V
"I think the goddess of Liberty could furnish a more noble inspiration, and the sufferings of your country were for a more befitting theme.","I think the goddess of Liberty could  furnish a more noble inspiration, and the sufferings of <***> country  <***>  for a more befitting theme.""","you,your*were,was",could*were,,S_V
"Heyday! shouted the hostess, advancing towards him in a threatening attitude; ""and who is it that calls me filthy?","Heyday!  <***>  the hostess, advancing towards him in a threatening attitude; ""and who  <***>  it that calls me filthy?","shouted,shout*is,are",souted*is,,S_V
"Peace! said Dunwoodie, in a voice that was exerted but a little more than common, but which was succeeded by the stillness of death.","Peace! said Dunwoodie, in a voice that  <***>  exerted but a little more than common, but which <***>  succeeded by the stillness of death.","was,is*was,were",was*was,,S_V
"Dr. Sitgreaves, I call you to your seat, to wait the order of the revels.""","Dr. Sitgreaves, I  <***>  you to your seat, to  <***>  the order of the revels.""","call,calls*wait,waits",call*wait,,S_V
"Proceed, proceed, said the surgeon, drawing himself up in an attitude of dignified composure.","Proceed, proceed, said the surgeon, <***>   <***>  up in an attitude of dignified composure.","drawing,draws*himself,herself",drawing*himself,,S_V*R_A
"I trust, Major Dunwoodie, I am not unacquainted with the rules of decorum, nor ignorant of the by-laws of good-fellowship.","I  <***> , Major Dunwoodie, I am  <***>  unacquainted with the rules of decorum, nor ignorant of the by-laws of good-fellowship.","trust,trusts*not,never",trust*not,,S_V*N_P_I
"Betty made a hasty but somewhat devious retreat to her own dominions, being unaccustomed to dispute the orders of the commanding officer.","Betty  <***>  a hasty but somewhat devious retreat to her own dominions,  <***> unaccustomed to dispute the orders of the commanding officer.","made,mades*being,been",made*being,,S_V
"He who criticizes ought to be able to perform, said Dunwoodie with a smile.","He who  <***>  ought to be able to perform,  <***>  Dunwoodie with a smile.","criticizes,criticize*said,says",criticizes*said,,S_V
I call on Dr. Sitgreaves for a specimen of the style he admires.,I  <***>  on Dr. Sitgreaves for a specimen of the style he  <***> .,"call,calls*admires,admire",call*admires,,S_V
"Dr. Sitgreaves' song!"" echoed all at the table with delight; "" and it was a classical ode from Dr. Sitgreaves!""","Dr. Sitgreaves' song!""  <***>  all at the table with delight; "" and  it <***> a classical ode from Dr. Sitgreaves!""","echoed,echoes*was,were",echoed*was,,S_V
Then hast thou known what 'this is to feel The pain that Galen could not heal.,Then hast thou known what 'this <***>  to feel The pain that Galen  <***>  not heal.,"is,were*could,would",is*could,,S_V
"The door was opened, and the Skinners entered, dragging in the peddler, bending beneath the load of his pack.","The door  <***>  opened, and the Skinners entered,  <***>  in the peddler, bending beneath the load of his pack.","was,were*dragging,drag",was*dragging,,S_V
"Which is Captain Lawton? said the leader of the gang, gazing around him in some little astonishment.","Which  <***>  Captain Lawton? said the leader of the gang, <***>  around him in some little astonishment.","is,are*gazing,gaze",is*gazing,,S_V
Then here I deliver to your hands a condemned traitor.,Then here I  <***>  to your hands a  <***>  traitor.,"deliver,delivers*condemned,condemn",deliver*condemned ,,S_V
"Lawton started as he looked his old acquaintance in the face, and, turning to the Skinner with a lowering look, he asked,-","Lawton  <***>  as he  <***>  his old acquaintance in the face, and, turning to the Skinner with a lowering look, he asked,-","started,starts*looked,looks",started*looked,,S_V
"But,"" bowing to Dunwoodie, ""your pardon, sir; here is the commanding officer; to him you will please address yourself.""","But,"" bowing to Dunwoodie, ""your pardon, sir; here  <***> the commanding officer; to him you  <***>  please address yourself.""","is,are*will,shall",is*will,,S_V
"No, said the man, sullenly, ""it is to you I deliver the peddler, and from you I claim my reward."""," <***> , said the man, sullenly, ""it is to you I  <***>  the peddler, and from you I claim my reward.""","No,not*deliver,delivers",No*deliver,,N_P_I*S_V
"Are you Harvey Birch? said Dunwoodie, advancing with an air of authority that instantly drove the Skinner to a corner of the room."," <***>  you Harvey Birch? said Dunwoodie, advancing with an air of authority that instantly  <***>  the Skinner to a corner of the room.","Are,is*drove,drive",Are*drove,,S_V
